Model:Hubble,Buyer:Open,
Number,HiSpec,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Number,LowSpec,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Number,FTG,P1,P2, P3, P4, P5, P6, P7,P8,P9,P10,Judgment,LowSpec,HiSpec,Date
1,FTG,1.14,1.02,1.11,1.29,1,1.1,1.05,1.01,0.39,0.93,False,0.8,1.2,6/25/2020 8:20:21 AM
1,FTG,1.03,1.02,1.11,1.29,1,1.09,1.05,1.02,0.4,0.93,False,0.8,1.2,6/25/2020 8:24:38 AM
2,FTG,0.05,1.03,1.08,0.99,1,-0.02,2.74,1.06,1.2,0.91,False,0.8,1.2,6/25/2020 8:28:55 AM
3,FTG,1.09,1.03,1.08,0.99,-0.02,-0.02,2.75,1.05,1.21,0.22,False,0.8,1.2,6/25/2020 8:42:11 AM
1,FTG,1.09,1.04,1.12,0.99,-0.02,-0.02,1.03,1.05,1.06,0.92,False,0.8,1.2,6/25/2020 8:58:19 AM
2,FTG,1.1,1.04,1.12,0.99,-0.02,-0.02,1.02,1.04,1.04,0.92,False,0.8,1.2,6/25/2020 9:00:15 AM
1,FTG,1.1,1.04,1.12,1.02,0.97,1.07,1.05,1.03,1.08,0.92,True,0.8,1.2,6/25/2020 9:01:08 AM
2,FTG,1.1,1.04,1.12,1,0.97,1.07,1.06,1.03,1.08,0.92,True,0.8,1.2,6/25/2020 9:01:41 AM
3,FTG,1.1,1.04,1.11,0.99,0.97,1.06,1.06,1.03,1.08,0.92,True,0.8,1.2,6/25/2020 9:02:20 AM
4,FTG,1.1,1.04,1.12,1.01,0.96,1.07,1.04,1.03,1.08,0.92,True,0.8,1.2,6/25/2020 9:02:46 AM
5,FTG,1.1,1.04,1.12,0.99,0.96,1.07,1.06,1.02,1.08,0.92,True,0.8,1.2,6/25/2020 9:03:15 AM
6,FTG,1.1,1.05,1.12,1,0.97,1.07,1.06,1.01,1.07,0.92,True,0.8,1.2,6/25/2020 9:03:43 AM
