Model:Hubble,Buyer:Open,
Number,HiSpec,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Number,LowSpec,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Number,FTG,P1,P2, P3, P4, P5, P6, P7,P8,P9,P10,Judgment,LowSpec,HiSpec,Date
1,FTG,0.92,2.38,1.31,0.98,1.03,1.2,1.28,1.27,1.25,0.93,False,0.8,1.2,6/25/2020 9:24:50 AM
2,FTG,0.92,-0.02,4.26,0.14,2.11,-0.02,1.07,1.27,0.33,0.93,False,0.8,1.2,6/25/2020 10:07:36 AM
3,FTG,0.92,-0.02,4.26,0.14,2.11,-0.02,1.07,1.27,0.33,0.93,False,0.8,1.2,6/25/2020 11:03:45 AM
1,FTG,1.12,1.02,1.1,0.95,0.97,1.04,1.05,1,1.83,0.94,False,0.8,1.2,6/25/2020 11:06:11 AM
2,FTG,1.12,1.02,1.1,0.97,0.96,1.03,1.04,1.01,1.86,0.93,False,0.8,1.2,6/25/2020 11:09:13 AM
3,FTG,1.12,1.05,1.1,0.96,0.96,1.03,1.05,1.01,1.84,0.93,False,0.8,1.2,6/25/2020 11:09:52 AM
4,FTG,1.02,1.02,1.12,0.97,1.31,1.04,1.05,1.01,1.18,0.93,False,0.8,1.2,6/25/2020 11:12:06 AM
5,FTG,1.12,1.05,1.12,0.97,0.96,1.05,1.04,1.02,1.15,0.94,True,0.8,1.2,6/25/2020 11:13:51 AM
6,FTG,1.12,1.03,1.12,0.95,0.96,1.05,1.03,1.01,1.19,0.93,True,0.8,1.2,6/25/2020 12:33:54 PM
7,FTG,1.12,1.03,1.12,0.97,0.96,1.05,1.04,1,1.17,0.93,True,0.8,1.2,6/25/2020 12:34:37 PM
1,FTG,1.12,1.03,1.12,0.95,0.96,1.04,1.05,1,1.15,0.94,True,0.8,1.2,6/25/2020 12:38:22 PM
2,FTG,1.12,1.02,1.12,0.97,0.95,1.04,1.03,1,1.2,0.94,True,0.8,1.2,6/25/2020 12:38:50 PM
3,FTG,1.12,0.94,1.12,0.97,0.96,1.04,1.06,0.99,1.17,0.94,True,0.8,1.2,6/25/2020 12:39:44 PM
1,FTG,1.13,1.05,1.12,0.96,0.96,1.05,1.05,1,1.17,0.94,True,0.8,1.2,6/25/2020 12:43:53 PM
2,FTG,1.12,1.05,1.12,0.97,0.97,1.05,1.04,1,1.17,0.94,True,0.8,1.2,6/25/2020 12:45:15 PM
1,FTG,1.13,1.02,1.13,0.97,0.97,1.04,1.04,1,1.19,0.94,True,0.8,1.2,6/25/2020 12:53:34 PM
